arxiv_id,pdf_url,title,authors,num_authors,journal_ref,doi,comment,category,year
2302.00134,https://arxiv.org/pdf/2302.00134.pdf,Learning Risk-Aware Costmaps via Inverse Reinforcement Learning for Off-Road Navigation,Samuel Triest; Mateo Guaman Castro; Parv Maheshwari; Matthew Sivaprakasam; Wenshan Wang; Sebastian Scherer,6,,,,cs.RO,2023
2302.00122,https://arxiv.org/pdf/2302.00122.pdf,Chance-Constrained Trajectory Optimization for High-DOF Robots in Uncertain Environments,Charles Dawson; Ashkan Jasour; Andreas Hofmann; Brian Williams,4,,,,cs.RO,2023
2302.00116,https://arxiv.org/pdf/2302.00116.pdf,Control-Tree Optimization: an approach to MPC under discrete Partial Observability,Camille Phiquepal; Marc Toussaint,2,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9561664,"6 pages, 10 figures",cs.RO,2023
2302.00113,https://arxiv.org/pdf/2302.00113.pdf,Fast and Noise-Resilient Magnetic Field Mapping on a Low-Cost UAV Using Gaussian Process Regression,Prince E. Kuevor; Maani Ghaffari; Ella M. Atkins; James W. Cutler,4,,,,cs.RO,2023
2302.09006,https://arxiv.org/pdf/2302.09006.pdf,Telerobotic Mars Mission for Lava Tube Exploration and Examination of Life,Hanjo Schnellbaecher; Florian Dufresne; Tommy Nilsson; Leonie Becker; Oliver Bensch; Enrico Guerra; Wafa Sadri; Vanessa Neumann,8,,,,cs.RO,2023
2302.00064,https://arxiv.org/pdf/2302.00064.pdf,Evaluating Temporal Observation-Based Causal Discovery Techniques Applied to Road Driver Behaviour,Rhys Howard; Lars Kunze,2,"Proceedings of the Second Conference on Causal Learning and Reasoning, PMLR 213:473-498, 2023",,"26 Pages = 13 Pages (Main Content) + 5 Pages (References) + 8 Pages (Appendix), 2 Figures, To be published in the Proceedings of the 2nd Conference on Causal Learning and Reasoning as part of the Journal of Machine Learning Research Workshop and Conference Proceedings series, Final submission version; Updated from initial to final submission version",cs.RO,2023
2302.00060,https://arxiv.org/pdf/2302.00060.pdf,Interaction and Decision Making-aware Motion Planning using Branch Model Predictive Control,Rui Oliveira; Siddharth H. Nair; Bo Wahlberg,3,,,"8 pages, 10 figures",cs.RO,2023
2302.00047,https://arxiv.org/pdf/2302.00047.pdf,Probabilistic Point Cloud Modeling via Self-Organizing Gaussian Mixture Models,Kshitij Goel; Nathan Michael; Wennie Tabib,3,,10.1109/LRA.2023.3256923,"8 pages, 6 figures, to appear in IEEE Robotics and Automation Letters",cs.RO,2023
2301.13809,https://arxiv.org/pdf/2301.13809.pdf,A Prototype System for High Frame Rate Ultrasound Imaging based Prosthetic Arm Control,Ayush Singh; Pisharody Harikrishnan Gopalkrishnan; Mahesh Raveendranatha Panicker,3,,,,cs.RO,2023
2301.13807,https://arxiv.org/pdf/2301.13807.pdf,Identifying the Hazard Boundary of ML-enabled Autonomous Systems Using Cooperative Co-Evolutionary Search,Sepehr Sharifi; Donghwan Shin; Lionel C. Briand; Nathan Aschbacher,4,,,Accepted for publication by IEEE Transactions on Software Engineering (TSE),cs.RO,2023
