arxiv_id,pdf_url,title,authors,num_authors,journal_ref,doi,comment,category,year
2302.00074,https://arxiv.org/pdf/2302.00074.pdf,Randomized Control of Wireless Temporal Coherence via Reconfigurable Intelligent Surface,João Henrique Inacio de Souza; Victor Croisfelt; Fabio Saggese; Taufik Abrão; Petar Popovski,5,,10.1109/ICCWorkshops57953.2023.10283583,"6 pages, 4 figures, conference paper",eess.SP,2023
2302.00057,https://arxiv.org/pdf/2302.00057.pdf,Federated Cell-Free MIMO in Non-Terrestrial Networks: Architectures and Performance,Alessandro Guidotti; Alessandro Vanelli-Coralli; Carla Amatetti,3,,,Submitted to IEEE Access,eess.SP,2023
2301.13849,https://arxiv.org/pdf/2301.13849.pdf,Ultrasound based Gas Detection: Analyzing Acoustic Impedance for High-Performance and Low-Cost Solutions,Ayush Singh; Harikrishnan Pisharody Gopalkrishnan; Mahesh Raveendranatha Panicker,3,,,,eess.SP,2023
2301.13841,https://arxiv.org/pdf/2301.13841.pdf,RIS-Assisted Interference Mitigation for Uplink NOMA,Azadeh Tabeshnezhad; A. Lee Swindlehurst; Tommy Svensson,3,,,"Revised manuscript in IEEE Wireless Communications and Networking Conference (WCNC), 2023",eess.SP,2023
2301.13830,https://arxiv.org/pdf/2301.13830.pdf,Age of Information With Non-Poisson Updates in Cache-Updating Networks,Priyanka Kaswan; Sennur Ulukus,2,,,,eess.SP,2023
2301.13664,https://arxiv.org/pdf/2301.13664.pdf,Ambient FSK Backscatter Communications using LTE Cell Specific Reference Signals,Jingyi Liao; Xiyu Wang; Kalle Ruttik; Riku Jantti; Phan-Huy Dinh-Thuy,5,,,,eess.SP,2023
2301.13630,https://arxiv.org/pdf/2301.13630.pdf,Enhancing NOMA Networks via Reconfigurable Multi-Functional Surface,Ailing Zheng; Wanli Ni; Wen Wang; Hui Tian,4,"IEEE Communications Letters, 2023",10.1109/LCOMM.2022.3232148,This paper has been accepted by IEEE Communications Letters,eess.SP,2023
2301.13553,https://arxiv.org/pdf/2301.13553.pdf,Millimetre-wave Radar for Low-Cost 3D Imaging: A Performance Study,Han Cui; Jiacheng Wu; Naim Dahnoun,3,,,"14 pages, 16 figures",eess.SP,2023
2302.00004,https://arxiv.org/pdf/2302.00004.pdf,Low Complexity Approaches for End-to-End Latency Prediction,Pierre Larrenie; Jean-François Bercher; Olivier Venard; Iyad Lahsen-Cherif,4,"2022 13th International Conference on Computing Communication and Networking Technologies (ICCCNT), Oct 2022, Kharagpur, France. pp.1-6",10.1109/ICCCNT54827.2022.9984543,arXiv admin note: substantial text overlap with arXiv:2301.13536,eess.SP,2023
2301.13516,https://arxiv.org/pdf/2301.13516.pdf,Recurrences reveal shared causal drivers of complex time series,William Gilpin,1,,,Physical Review X (to appear). Code available online at https://github.com/williamgilpin/shrec,eess.SP,2023
