arxiv_id,pdf_url,title,authors,num_authors,journal_ref,doi,comment,category,year
2302.00676,https://arxiv.org/pdf/2302.00676.pdf,Enhancing Light Extraction of Organic Light Emitting Diodes by Deep-Groove High-index Dielectric Nanomesh Using Large-area Nanoimprint,Ji Qi; Wei Ding; Qi Zhang; Yuxuan Wang; Hao Chen; Stephen Y. Chou,6,,,arXiv admin note: text overlap with arXiv:2302.00044,eess.SY,2023
2302.00069,https://arxiv.org/pdf/2302.00069.pdf,Hybrid Cathode Lithium Battery Discharge Simulation for Implantable Cardioverter Defibrillators Using a Coupled Electro-Thermal Dynamic Model,Mahsa Doosthosseini; Mahdi Khajeh Talkhoncheh; Jeffrey L. Silberberg; Sandy Weininger; Hamed Ghods,5,,,"6 pages, 7 figures",eess.SY,2023
2302.00060,https://arxiv.org/pdf/2302.00060.pdf,Interaction and Decision Making-aware Motion Planning using Branch Model Predictive Control,Rui Oliveira; Siddharth H. Nair; Bo Wahlberg,3,,,"8 pages, 10 figures",eess.SY,2023
2301.13841,https://arxiv.org/pdf/2301.13841.pdf,RIS-Assisted Interference Mitigation for Uplink NOMA,Azadeh Tabeshnezhad; A. Lee Swindlehurst; Tommy Svensson,3,,,"Revised manuscript in IEEE Wireless Communications and Networking Conference (WCNC), 2023",eess.SY,2023
2301.13796,https://arxiv.org/pdf/2301.13796.pdf,Scalable Grid-Aware Dynamic Matching using Deep Reinforcement Learning,Majid Majidi; Deepan Muthirayan; Masood Parvania; Pramod P. Khargonekar,4,,,,eess.SY,2023
2301.13774,https://arxiv.org/pdf/2301.13774.pdf,Multi Feature Data Fusion-Based Load Forecasting of Electric Vehicle Charging Stations Using a Deep Learning Model,Prince Aduama; Zhibo Zhang; Ameena S. Al Sumaiti,3,"Energies 2023, 16, 1309",10.3390/en16031309,,eess.SY,2023
2301.13729,https://arxiv.org/pdf/2301.13729.pdf,Low-rank LQR Optimal Control Design over Wireless Communication Networks,Myung Cho; Abdallah Abdallah; Mohammad Rasouli,3,,,10 pages,eess.SY,2023
2301.13712,https://arxiv.org/pdf/2301.13712.pdf,A Bi-Level Stochastic Game Model for PMU Placement in Power Grid with Cybersecurity Risks,Saptarshi Ghosh; Murali Sankar Venkatraman; Shehab Ahmed; Charalambos Konstantinou,4,,,2023 IEEE Belgrade PowerTech,eess.SY,2023
2301.13653,https://arxiv.org/pdf/2301.13653.pdf,Towards Semantic-Aware Transport Layer Protocols: A Control Performance Perspective,Polina Kutsevol; Onur Ayan; Wolfgang Kellerer,3,,10.1109/ICC45041.2023.10278801,,eess.SY,2023
2301.13630,https://arxiv.org/pdf/2301.13630.pdf,Enhancing NOMA Networks via Reconfigurable Multi-Functional Surface,Ailing Zheng; Wanli Ni; Wen Wang; Hui Tian,4,"IEEE Communications Letters, 2023",10.1109/LCOMM.2022.3232148,This paper has been accepted by IEEE Communications Letters,eess.SY,2023
2301.13618,https://arxiv.org/pdf/2301.13618.pdf,Scheduling Inference Workloads on Distributed Edge Clusters with Reinforcement Learning,Gabriele Castellano; Juan-José Nieto; Jordi Luque; Ferrán Diego; Carlos Segura; Diego Perino; Flavio Esposito; Fulvio Risso; Aravindh Raman,9,,,,eess.SY,2023
2301.13598,https://arxiv.org/pdf/2301.13598.pdf,Economic Predictive Control with Periodic Horizon for Water Distribution Networks,Mirhan Ürkmez; Carsten Kallesøe; Jan Dimon Bendtsen; John Leth,4,,,,eess.SY,2023
2301.13549,https://arxiv.org/pdf/2301.13549.pdf,Review of methods for automatic cerebral microbleeds detection,Maria Ferlin; Zuzanna Klawikowska; Michał Grochowski; Małgorzata Grzywińska; Edyta Szurowska,5,,,"32 pages, 6 figures, 3 tables, 174 references",eess.SY,2023
2301.13533,https://arxiv.org/pdf/2301.13533.pdf,Passivity-based power sharing and voltage regulation in DC microgrids with unactuated buses,Albertus Johannes Malan; Pol Jané-Soniera; Felix Strehle; Sören Hohmann,4,,,"16 pages, 13 figures",eess.SY,2023
2301.13447,https://arxiv.org/pdf/2301.13447.pdf,Benchmarking Model Predictive Control Algorithms in Building Optimization Testing Framework (BOPTEST),Saman Mostafavi; Chihyeon Song; Aayushman Sharma; Raman Goyal; Alejandro Brito,5,"Proceedings of the 18th IBPSA Conference, Shanghai, China, Sept. 4-6, 2023",10.26868/25222708.2023.1371,,eess.SY,2023
2301.13426,https://arxiv.org/pdf/2301.13426.pdf,Discrete Search in Heterogeneous Integer Spaces for Automated Choice of Parameters using Correct-by-Construction Methods,Omar Radwan; Yilin Zhang; Luca Geretti,3,,,"5 pages,",eess.SY,2023
